content	title	tags	datetime	votes	user	expertise	medal	n_comments	n_appreciation_comments	id	forum	domains
Hello  Kaggle community  After many hours of dedication  learning  and pushing the boundaries of my capabilities  I m ecstatic to announce that I ve officially reached the Master level on Kaggle today       A huge thank you to everyone who s been a part of this journey. Let s continue to learn  grow  and innovate together. Here s to more challenges  more learning  and more achievements	ð Thrilled to Share: I've Reached Master Tier on Kaggle Today! ð		2024-03-20T23:27:16+00:00	31	onurrr90	Master	gold	39	0	485476	accomplishments	['General']
Celebrating my completion of the computer vision course at Kaggle     I already had some knowledge of machine learning before I decided to delve into computer vision. However  computer vision  as a branch of machine learning  has always been full of mystery to me.  How can pictures and videos be converted into data that machines can understand?  This question has always troubled me. Fortunately  I found a computer vision course on Kaggle  which not only started my learning journey  but also completely changed my view on this field.       URL  Finally  I look forward to applying what I learned in future projects to solve more problems.	Celebrating my completion of the computer vision course at Kaggleð		2024-03-21T01:10:03+00:00	17	wolfmedal	Expert	bronze	14	0	485492	accomplishments	['General']
I am excited to share that I have reached top 500 in discussions   Thank you all for your support    img   URL	Reached top500 in discussionsðð		2024-03-20T15:17:59+00:00	12	saipavankumaryedduri	Expert	silver	13	0	485378	accomplishments	['General']
Exciting news  Following yesterday s achievement as a Kaggle Notebook Expert  I m thrilled to announce that today  I ve become a Kaggle Dataset Expert       Grateful for the support from the amazing Kaggle community on this journey. Ready to dive deeper into data science and contribute even more        KaggleExpert      URL	From Kaggle Notebook to Dataset Expert! ðð		2024-03-20T15:15:41+00:00	14	shahriarkabir	Expert	bronze	14	0	485376	accomplishments	['Levels']
Hello Kaggle Community   I m thrilled to share that we ve hit a phenomenal milestone together - 3 000 upvotes  This couldn t have been possible without your brilliant minds and spirited engagement. Let s take a moment to highlight our collective wins with a dash of fun 1.         Egg-cellent Sales Analysis   URL  This dataset wasn t just about counting eggs  it was about uncovering the stories behind the numbers. Your insights were nothing short of brilliant  2.    Melody Metrics   URL  Together  we hit the high notes in analyzing what makes a song stick. Your analyses were music to my data-loving ears  3.    Spotify s Decade of Hits   URL  We charted the course of a decade s worth of tunes and trends  thanks to your harmonious contributions. 4.    iPhone Pricing Insights   URL  Navigating the ebbs and flows of iPhone prices  your analyses were as sleek and sharp as the gadgets themselves.  This journey has been an incredible learning experience  made richer by your participation and insights. As we celebrate this milestone  I m reminded that our community s strength lies in our diversity of thought  creativity  and collaboration.  Here s to continuing our adventure in data discovery  with more datasets  more insights  and more milestones to celebrate   Warm regards   Kanchana1990       URL   Arts and Entertainment   discussions?tags 2200-Arts and Entertainment  Music   discussions?tags 2304-Music  IPython   discussions?tags 16599-IPython  Data Visualization   discussions?tags 13208-Data Visualization  Data Storytelling   discussions?tags 17076-Data Storytellin	Achieved 3,000+ Dataset Upvotes! ð	['Arts and Entertainment', 'Music', 'IPython', 'Data Visualization', 'Data Storytelling']	2024-03-20T19:47:15+00:00	17	kanchana1990	Expert	gold	11	0	485433	accomplishments	['Data Science']
Hi Kagglers  Today I want to celebrate my longest streak. Although I have been consistently working every week since last October  I decided a month ago to work every day consistently. So here are the fruits of that decision  25 days in a row  Next goal 60 days in a row    kaggle_35_days_streak   URL	â­ Celebrating my first 35 days streak â­		2024-03-20T19:20:16+00:00	18	octaviograu	Expert	gold	17	0	485426	accomplishments	['General']
URL  Hello  dear friends. As promised  I keep adding implementations with a theoretical description of machine learning algorithms from scratch in Python  which are part of a future machine learning course.     This time I bring to your attention a full tutorial with    Decision Tree  CART      URL     If you find this tutorials format useful  don t miss the release of new algorithms that you can find in my profile. Next  a lot of interesting things will be added     I hope you enjoy it and have fun reading        Decision Tree   discussions?tags 13417-Decision Tree  Python   discussions?tags 16639-Python  Data Analytics   discussions?tags 13215-Data Analytic	Decision Tree (CART) algorithm from scratch. Full tutorialð	['Decision Tree', 'Python', 'Data Analytics']	2024-03-20T16:47:12+00:00	11	egazakharenko	Expert	silver	10	2	485388	accomplishments	['Data Science', 'Computer Science', 'AI']
Hey community           I m thrilled to share a fresh dataset I ve just put together by scraping data from the DAAD website. It s a comprehensive collection of master s programs in Germany tailored for international students.            This dataset is perfect for professionals diving into data analytics or students planning to pursue their master s in Germany. Remember  though  it s always wise to double-check the official DAAD site for the latest updates.         Stay tuned for my upcoming analysis notebook exploring the insights hidden within this data. I m eager to hear your feedback and thoughts in the comments below           Thanks for your support  and let s dive into this exciting data journey together   Click Here to Access Dataset   URL       URL	ð New Dataset Alert: International Master's Programs in Germany ð		2024-03-20T10:20:50+00:00	11	sanlian	Expert	silver	8	0	485323	accomplishments	['General']
URL  One of my Notebook just Passed 71000  Views and 1000  copies. Thanks Kaggle Community for supporting my work.  Notebook -	Celebrating 71000+ Views and 1000+ copies on my Notebook ð¤©		2024-03-20T09:45:52+00:00	20	niteshyadav3103	Master	gold	20	1	485311	accomplishments	['General']
ML Journey   This specialization has been an enriching experience  filled with numerous challenges and rewarding accomplishments.        From the foundational concepts of machine learning algorithms to advanced techniques in deep learning  you ve embarked on a comprehensive exploration of the field.           URL     About this course   It was really a nice course by Andrew Ng.          He covered Supervised   Unsupervised and Advanced Algorithms.	"Completed ""ML Specialization"" in Coursera !!!ðð"		2024-03-20T15:49:31+00:00	8	nareshv16	Contributor	silver	7	0	485382	accomplishments	['Levels', 'Computer Science', 'AI']
Hello data enthusiasts  I am thrilled to announce the release of a new dataset on Kaggle  highlighting Global Electricity Production. This dataset provides key insights into global electricity production  enabling analysis of trends and opportunities for sustainable energy practices. Uncover insights into electricity trends and sustainable energy opportunities.      Dataset link  Explore here   URL    Electricity Production   URL   Electricity   discussions?tags 16525-Electricity  Energy   discussions?tags 12016-Energy  Global   discussions?tags 3007-Globa	[Dataset]: Global Electricity Productionð	['Electricity', 'Energy', 'Global']	2024-03-20T08:50:09+00:00	11	sazidthe1	Expert	bronze	8	0	485293	accomplishments	['Electricity']
I m really excited to share My First Multi-Page Streamlit Web Application  which is based on My Classification Project             registered                                          registered                          registered                             registered                 .       Its My First                     -        registered                                                   registered                   which I used to create 2 Pages to demonstrate two different aspects of My Project. It contains a                         registered      which let s you choose different pages seamlessly by using a                                                  .      It also contains a                                                                               in the Sidebar  which lets you contribute to the project by                                      registered                                                                                              and                             registered                                                                                                                           .                                registered                                                                        registered                                                           1                                    registered                    The first page of the app dive deep into the                                          registered                          of the Project  It lets you get a proper understanding of what the problem is and what we are trying to predict.           It also provides an                                                                registered         registered being used  including its features and variables. It also lets you view the Data by using a                                                   and                             registered              registered         registered     registered                  copyright using a                             registered                              .      2                                        registered                   The second page contains the                                          registered                  itself which lets you choose different features and enter different variables related to the Project and Predict whether the Passenger was transported to an Alternate Dimension or not.                                registered          registered                                                                  Spaceship Titanic App   URL      I d love to hear your feedback and any suggestions you might have        Feel free to explore the app and share your thoughts.           URL	Spaceship Titanic App		2024-03-20T13:15:27+00:00	12	themrityunjaypathak	Master	gold	10	0	485358	accomplishments	['AI']
In this comprehensive exploration  I dive deep into the Diabetes dataset  employing various data analysis techniques and feature engineering strategies to uncover insights and prepare the data for predictive modeling. Whether you re a data science enthusiast  a professional looking to refine your skills  or simply curious about the power of data in healthcare  this notebook has something for you. Key Highlights Detailed data cleaning and preprocessing steps to tackle missing values and outliers.  Exploratory data analysis  EDA  to understand the distribution and relationship between variables.  Innovative feature engineering techniques to enhance model performance.  Correlation analysis to identify key factors associated with diabetes.  Practical tips and best practices for data analysis and feature engineering.  This notebook aims to not only provide a thorough analysis of the diabetes dataset but also to illustrate the importance of proper data preparation in the journey from data to insights. I ve shared my thought process  code snippets  and visualizations to make it as informative and user-friendly as possible. I d love your feedback  questions  or insights  Let s learn from each other and make data science an even more collaborative and enlightening field. Check out the notebook  leave your comments  and feel free to share it with your network.      Happy analyzing             DataScience  Kaggle  FeatureEngineering  DataAnalysis  MachineLearning  DiabetesAwareness	"ð Excited to share my latest Kaggle notebook: ""Diabetes Data Analysis and Feature Engineering"" ð"		2024-03-20T09:01:31+00:00	12	damlapeker	Expert	silver	10	0	485295	accomplishments	['Healthcare', 'Data Science']
I m happy to share that one of my notebook just passed 1000 views              URL	Celebrating 1000 Views Of My Notebook ðð		2024-03-20T03:15:34+00:00	12	mdismielhossenabir	Master	gold	11	0	485234	accomplishments	['General']
URL  This is really amazing  I earned my first Bronze medal on Kaggle. I recently started Data Science a few months ago  and I m having a great time	ðEarned my first Bronze medal on my Notebook!ð¥³		2024-03-20T09:42:25+00:00	11	aarishasifkhan	Expert	gold	10	0	485308	accomplishments	['General']
Celebrating my fifth time series notebook       Today I am very happy to share my latest achievement completing my fifth time series analysis Kaggle notebook     . The journey of this project has been challenging and learning       it has not only advanced my understanding of time series analysis      but also deepened my working knowledge of specific libraries     .       URL   Check out my fifth time series library achievement notebook   URL  If you have any questions or ideas about time series analysis or my project  please feel free to comment below	Celebrating my fifth time series notebook! ð		2024-03-20T03:09:33+00:00	15	wolfmedal	Expert	bronze	15	0	485233	accomplishments	['Levels']
As a new learner in the realm of data science  I m thrilled to announce my first three bronze medals for notebook creation and one for dataset contribution. Each achievement represents a milestone in my quest for knowledge  a testament to my dedication to learning from mistakes and embracing challenges. Along this journey  I ve been deeply inspired by the vibrant community on Kaggle  where countless individuals generously share insights and encouragement. I m grateful for their support and am committed to continuing my growth by immersing myself in multiple courses and eagerly seeking feedback. With every comment and interaction  I m fueled to expand my understanding and contribute meaningfully to the field.       Data Analytics   discussions?tags 13215-Data Analytic	ððCelebrating My First Bronze Milestones in Notebook and Dataset!	['Data Analytics']	2024-03-20T13:09:43+00:00	19	shruthiiiee	Expert	gold	20	0	485357	accomplishments	['Data Science']
Hello everyone      I m absolutely thrilled to share a significant milestone in my Kaggle journey     my datasets have reached the Top 300 ranking           It s an achievement that fills me with gratitude and motivates me to continue contributing valuable resources to the community.      URL  Thanks	Top 300 in datasetsâ¨ ð¥³		2024-03-20T06:55:10+00:00	12	ayushchandramaurya	Expert	silver	13	0	485279	accomplishments	['General']
I would like to know more about the AI engineer	What about new in the domain of contributing AI??		2024-03-20T02:21:39+00:00	4	anmolgirase	Novice	bronze	4	0	485230	accomplishments	['AI']
Hey everyone  Exciting news     I ve reached Kaggle Expert status           I couldn t have done it without the amazing support and inspiration from this community.      URL  A huge thank you to everyone who has been a part of this journey with me. Let s continue to learn and thrive together	ðð I Made it to Kaggle Expert Level! ðð		2024-03-19T18:47:04+00:00	23	cristaliss	Expert	gold	30	0	485178	accomplishments	['Levels']
URL       URL  Hello everyone  I m thrilled to share some fantastic news I ve entered the top 100 in Kaggle Discussions       Sharing this achievement with you all is a great joy. I want to express my heartfelt thanks to each and every one of you for the support and inspiration you ve provided throughout this journey. With your incredible backing  I m confident that we will achieve even greater milestones. I m grateful to all of you and eagerly look forward to celebrating more successes together on this voyage                  KaggleDiscussion  Top100	ð Entering the Top 100 in Kaggle Discussions! ð		2024-03-19T21:30:49+00:00	11	mehmetisik	Expert	bronze	13	0	485205	accomplishments	['General']
My rural development data set is on the cover of Kaggle trend promotion       Today  I am excited to share with you a special achievement - my  Rural Development Dataset   URL  has successfully been listed on Kaggle Trends Improve the cover  This is not only recognition of my hard work over the past few months      but also a major boost to awareness of the importance of rural development    .       URL  Finally  I would like to thank everyone who supported  contributed to  and used our dataset. It is your participation and feedback that make this project more meaningful and valuable. I look forward to your future contributions and discoveries to jointly promote rural development	My rural development data set is on the cover of Kaggle trend promotion! ð		2024-03-20T09:24:32+00:00	10	wolfmedal	Expert	bronze	11	0	485302	accomplishments	['General']
I am excited to share that I have recently became a Notebook expert along with discussion expert. I would like thank everyone in the kaggle community for motivating me  Cheers     image   URL	â¨â¨Celebrating 2xExpert in notebooks and discussions!ðâ¨â¨		2024-03-19T14:18:44+00:00	10	saipavankumaryedduri	Expert	silver	12	0	485120	accomplishments	['Levels']
I m thrilled to share that today  I ve officially become a Kaggle Notebooks Expert             It s been an incredible journey filled with learning  growth  and countless moments of inspiration.      I m immensely grateful to everyone who has supported and encouraged me along the way.      Your support has been invaluable  and I m deeply appreciative of your encouragement. Thank you        KaggleNotebooksExpert	I become Kaggle Notebooks Expert ð		2024-03-19T14:39:52+00:00	24	shahriarkabir	Expert	gold	30	0	485124	accomplishments	['Levels']
URL       Dear Kaggle Community           Happy to share that i just recieved my 5th Gold Medal on Notebooks. and First Silver Medal on Dataset.	â¡5th Gold Medal Achieved in Notebook Competition | Accompanied by First Silver Medal in Dataset â¡		2024-03-19T17:46:46+00:00	19	abdmental01	Master	bronze	18	0	485169	accomplishments	['General']
URL	ððCelebrating Top 150 in Discussion		2024-03-19T11:55:47+00:00	13	amitvkulkarni	Expert	gold	17	0	485088	accomplishments	['General']
URL	ðð3x Kaggle Expert		2024-03-19T12:14:18+00:00	14	abhinavshaw09	Expert	gold	17	0	485091	accomplishments	['Levels']
Greetings Kagglers  Thrilling news  My Spotify Popular Songs and Artists notebook has surpassed 1000  views       I m deeply grateful for the community s enthusiasm in delving into the insights and analyses I ve curated. Your support and engagement fuel my passion to contribute more and enhance our data discussions. Let s continue this journey of exploration together  Your valuable insights are crucial for refining this analysis. Whether you prefer direct comments on the notebook or reaching out to me personally  I welcome your feedback with open arms. Thank you for your ongoing support       URL	ðCelebrating My Notebook has over 1000+ views!ðâ¨		2024-03-19T12:45:53+00:00	12	arnavvvvv	Expert	bronze	14	0	485096	accomplishments	['General']
Hey everyone  I m thrilled to share that I ve successfully completed the  Software Engineering Principles in Python  course on DataCamp. This course has been an incredible journey  allowing me to delve deep into the fundamental principles of software engineering and sharpen my Python skills along the way. From understanding clean code practices to mastering version control with Git  each module presented invaluable insights that I can apply to my projects.       URL	Certificate Unlocked: Mastering Software Engineering Principles in Python! ðð		2024-03-19T10:32:48+00:00	8	ghaithmechi	Master	silver	8	0	485062	accomplishments	['Computer Science', 'DevOps']
URL  I am happy to share that i have been promoted as Kaggle expert by seeing my potential notebooks   Notebook 1   Notebook 2   Notebook 3   Notebook 4   Notebook 5  Artificial Intelligence   discussions?tags 12101-Artificial Intelligence  Data Storytelling   discussions?tags 17076-Data Storytelling  Computer Vision   discussions?tags 13207-Computer Visio	ðððHappy to Become a Kaggle Notebooks Expert!	['Artificial Intelligence', 'Data Storytelling', 'Computer Vision']	2024-03-19T10:04:23+00:00	14	prudhvi143413s	Expert	silver	12	0	485057	accomplishments	['AI']
URL  its been a great journey be discuss new technologies  Q  A sessions  and congratulations on achievements so far   ..Happy to be in Kaggle expert community   Thanks for all the support  Question Answering   discussions?tags 16715-Question Answerin	ðFinally Promoted as Kaggle Discussions Expertð¥³ð	['Question Answering']	2024-03-19T10:10:01+00:00	10	prudhvi143413s	Expert	silver	10	0	485058	accomplishments	['General']
Kugglers   Friends    I managed to enter the TOP 1000 for Notebooks    Thank you for support    We continue our journey to ML      Have a productive day and good mood everyone	ð¥ð¥ð¥Friends, I entered the 1000 in Notebooks!!!ð¥ð¥ð¥		2024-03-20T05:12:42+00:00	17	mikhail1681	Expert	silver	18	0	485260	accomplishments	['AI']
A big thank you to the Kaggle community for the continous support and wonderful suggestions and feedback that I receive. My notebook on Chaos theory has recieved a silver medal. Thanks again and don t hesitate to reach out for any support.       URL	Achieved a Silver Medal for ð Chaos Theory Notebook		2024-03-19T09:39:01+00:00	14	kanchana1990	Expert	gold	9	0	485052	accomplishments	['General']
Kagglers   I took Kaggler courses on Pandas and received a certificate    More study  more knowledge    Come on  keep going      Have a nice day  everyone           URL	ð¡ð¡ð¡Friends!!! I received another certificate from Kaggle!!!ð¡ð¡ð¡		2024-03-19T05:09:01+00:00	21	mikhail1681	Expert	gold	19	0	485019	accomplishments	['General']
Celebrate completing 10 courses on Kaggle  I ve been on an incredible learning journey over the past few months  and I m happy to announce that I ve finally completed 10 learning courses on Kaggle        URL  I would like to thank Kaggle for providing such a good learning platform. In the days to come  I look forward to communicating and sharing with more learners and growing together. Thanks again for everyone   s support  let   s explore the wonderful world of deep learning together	Celebrate completing 10 courses on Kaggle!		2024-03-19T04:09:36+00:00	23	wolfmedal	Expert	silver	10	0	485011	accomplishments	['General']
The Learning Agency Lab recently released a report on  how to structure and run a data science competition   URL  based on their experiencing hosting multiple competitions on Kaggle. This best practices document can help you  too  host your first of many successful competitions	Best Practice for Data Science Competitions from a 7x Competition Host		2024-03-07T17:57:46+00:00	9	addisonhoward	Kaggle Stuff	silver	1	0	482434	competition-hosting	['General']
We re pleased to be able to publish  the code that runs python metrics on Kaggle.   URL  This notebook executes any time a new python metric is validated or a submission needs to be scored with an existing python metric. We hope that access to the source code will make it easier to write new metrics  particularly ones that use advanced features. If you would like to write a metric that accepts submissions in any file format other than  CODE  you ll want to review the code that handles the optional  CODE  metric function. Please reply to this thread with any questions or feedback you have. Happy Kaggling  Sohier  on behalf of the Kaggle Team	Python metrics orchestrator code published		2023-11-09T17:55:16+00:00	19	sohier	Kaggle Stuff	gold	24	3	454319	competition-hosting	['Levels', 'Computer Science']
We   re happy to announce a big improvement to the competition hosting experience custom evaluation metrics  Starting today  anyone can write their own Python competition evaluation metric in a Kaggle Notebook. For more details  see the announcement over in the Product Feedback forum	[Product update] Custom Competition Evaluation Metrics		2023-06-21T20:25:26+00:00	29	jonlipovetz	Kaggle Stuff	gold	16	0	418645	competition-hosting	['Computer Science']
I have completed the steps to launch a competition. But unfortunately  I uploaded an incorrect data file. Now I want to delete it and re-add the correct one. How to do it? Kindly help.	Remove and add new dataset files before launching the competition.		2024-03-26T19:36:48+00:00	1	saqibsarwarkhan	Contributor	bronze	1	0	486918	competition-hosting	['General']
I m hosting a private competition. I will send invites out to participants next week. I just launched my competition  and submitted a sample file  just to test it. I successfully submitted  but the leaderboard is still empty. Why is the leaderboard not populating? Does the leaderboard not populate until at least 2 people submit predictions?	When does Leaderboard begin working?		2024-03-21T17:46:04+00:00	1	shanratty	Novice	bronze	1	0	485676	competition-hosting	['General']
When I upload my sample submission csv file to the 3rd step of Map Solution   Submission Schemas  it says that there s an internal error so I cannot save the changes. I am pretty sure that I select the right scoring metric and I have selected the Submission Mapping for every column in the file.  error _message.png   URL	I cannot save sample submission file when hosting a competition		2024-03-14T14:06:27+00:00	2	ericahuang36	Novice	bronze	3	0	483883	competition-hosting	['General']
With hundreds of competitions hosted each month by users in their schools  businesses  community and beyond  we wanted to create a dedicated discussion forum for competition hosts to ask each other questions and share insights on creating  hosting  running  and concluding competitions  Great discussion topics include   Providing  or asking for  advice on successful competition topics   Suggestions on helpful competition datasets for your classroom   Sharing your successful competition series to inspire others  or even for others to copy     Ask for help in configuring your dataset  or guidance on splitting your dataset into training and test sets   Direction on creating starter notebooks or engaging with participants during the competition   Choosing the right evaluation metric  Here are some other quick links for your reference     Learn More About Kaggle Competition Types   URL     Community Competitions Overview   URL     Review the Competition Setup Guide   URL     Create a Community Competition   URL  If you have a question  comment  or advice - please start a new topic. Happy Hosting	Welcome to the Competition Hosting Discussion Forum!		2022-10-24T23:51:38+00:00	44	addisonhoward	Kaggle Stuff	gold	11	0	361978	competition-hosting	['General']
I m trying to host a competition. But I find that I m not able to update the data.  Before I host a competition and update the data by click the button  New Version .       URL  But this year I could not find the button to upload new version of my data. I wonder if I do something wrong?       URL	Can't update competition data		2024-03-07T18:43:43+00:00	0	aassxun	Contributor		1	0	482443	competition-hosting	['General']
I ve hosted private competitions before  including a couple weeks ago  and have had no problem completing the launch checklist. I m trying to launch a new one for another class  and the platform is suggesting that I haven t completed the Edit Overview Tab step. The message reads   Publish at least one section. All sections must not have their default content.  In the past I don t recall having to do anything special here. I don t see a  publish  button to click.  The  launch  button at the end won t work yet  until I finish this step.  I tried using the  Add Section  button  and edited the content for the section I added  so it wouldn t be default content   and clicked to publish that section  but I still got the message that I hadn t completed this step in the launch checklist. Can anyone provide any help?	"Unable to launch private competition - cannot clear ""Overview"" step"		2024-03-04T23:08:47+00:00	1	decroix	Novice	bronze	1	0	481751	competition-hosting	['General']
I was trying to host a competition and somehow I am stuck on one of the checklist items called  Edit Overview Tab . I have changed the content and made sure there is no default content. I also created a section for citation. However  it is still stopping me from publishing my competition. Any advice would help  Thank you	Cannot launch my competition		2024-03-02T21:58:13+00:00	2	jzhao0626	Novice	bronze	1	0	481289	competition-hosting	['General']
I want the participants in the competition to submit both a csv file including their results  and a .py .ipynb file containing their model. How can I as the host of the competition set the submission criteria so that each team can submit two files  and not just a single csv file?	Submit both a CSV file and a python file for a competition.		2024-03-20T18:24:01+00:00	1	golnazmesbahi	Novice	bronze	1	0	485411	competition-hosting	['Computer Science']
I have launched a community competition and there are two things I want to change   Description  goes under title    Enable  Ask participants to share their email addresses when joining  But when I  Save Changes  nothing gets saved. Please advice.	How to change competition description and settings after launch?		2024-02-27T12:21:00+00:00	0	danilz	Contributor		1	0	480143	competition-hosting	['General']
I would appreciate some feedback on my Kaggle notebook where I ve performed sentiment analysis using LSTM  Long Short-Term Memory . I m looking for suggestions and comments to improve the notebook. Thank you  NoteBook-	Sentiment_Analysis By Using LSTM		2024-03-06T08:34:24+00:00	1	gunjan2509	Contributor	bronze	1	0	482079	competition-hosting	['General']
My competition requires that I display some inline math on its Overview section  but so far I have been unsuccesful. I have tried   Escaping the dollar signs       Different math syntaxes like         and         I have searched other repositories for inline math  and I have found some with equations like  ax b  succesfully displayed  so there must be a way. Importantly  I can display math in double dollar sign blocks ax b  ax b  I would appreciate any help	Inline math display on front page		2024-02-06T19:24:05+00:00	1	gabrielpatron	Novice	bronze	1	0	475006	competition-hosting	['General']
I m considering the organisation of a competition where  if the features  so not prediction targets  just features that I do want to give as inputs to models  ever become visible to the entrants  in their human form---not their models   this might give them sufficient information such that they could reproduce fairly accurate ground truth labels for the test data. It would require a huge amount of effort  but it would likely not be impossible. I suspect that turning the competition into a Code Competition might be the solution I need  because I understand that in this case I would not have to provide entrants with a downloadable  CODE  file. However  I am not sure if this also guarantees that they can never  at least  not before the end of the competition  see any of the test data features? Are entrants completely unable to observe any outputs of the notebooks they run at all? Can t they still just load the  CODE  file in their notebook  print the features  and observe those prints  for example?	Can code competitions be used to fully hide test data (including features) from entrants?		2024-02-07T13:12:50+00:00	1	dennissoemers	Contributor	bronze	3	0	475189	competition-hosting	['General']
So I study in a B School. Every term we have courses offered to us  each courses have limited seats  and each student has a total of 100 bid points available to them. Every term we have issues of irregular bids and students not getting subjects due to bad bid strategy. So what i want to build is a coded solution wherein my input will be the list of students  the preference of each student for the various courses  the list of courses with their maximum seats available. The output will be such that based on the above parameters i will predict the exact bid that each student should give so that they at least get their top 3 preferences. For eg the students can generally bid in the following manner - course1 - 35 points  course2-35 points  course3- 20 points  course4 - 10 points. I want to find a solution to this so that the headache is gone and students get what they want and optimal bids for each student for each subject can be predicted  Intermediate   discussions?tags 13103-Intermediate  Data Analytics   discussions?tags 13215-Data Analytics  Tabular   discussions?tags 14101-Tabula	Help needed with solving the B school bidding system	['Intermediate', 'Data Analytics', 'Tabular']	2024-02-27T17:50:33+00:00	-2	ahetesham	Novice		1	0	480209	competition-hosting	['Levels', 'Data Science']
Hey folks  I m considering a competition to  build the best LLM chatbot on top of dataset X   and I m trying to figure out if decent metrics exist in Kaggle for this already? I know the science exam competition relied on a training set of data  but the score there was about ranking pre-existing answers - are there any metrics that might be suitable where answers aren t predefined? Some sort of  answer similarity  or similar?	LLM Evaluation Metrics		2024-01-31T16:24:01+00:00	2	crimsoneer	Contributor	bronze	1	0	472314	competition-hosting	['AI']
Is there any way I can change the visibility of a competition from private to public?      URL  I tried to click on visibility but it is grey out. Any suggestions would be appreciated. Thanks   Oscar.	Changing the visibility of the competition		2024-01-22T17:48:31+00:00	6	oscarm524	Master	silver	2	0	469977	competition-hosting	['General']
Hello  I am trying to clone my own competition that I have cloned  5 times in the past  but I get this error  Cannot clone a competition without a specified license.  Not sure what is the problem    The dataset comes from a published case which we purchase for our students who take part in the competition  hence there are no licensing issues. The competition also mentions the case where the data comes from. Please advise  Anton	"Error: ""Cannot clone a competition without a specified license"""		2024-01-05T13:56:15+00:00	3	anton262	Novice	bronze	1	0	465763	competition-hosting	['General']
speed nikalo visuals se bs	data hackathon		2024-01-13T19:29:14+00:00	3	fullnamesumedh	Novice	bronze	2	0	467745	competition-hosting	['General']
A Guide for a new kaggler for participating in competitions held on kaggle   Create a Kaggle Account Familiarize yourself with the Kaggle platform by exploring different sections  including Datasets  Notebooks  Competitions  and Discussion Forums.  Learn from Kernels Kaggle Kernels are code notebooks that others have shared. Explore Kernels related to data analysis and machine learning to learn different techniques and approaches. You can find Kernels in the  Kernels  section of Kaggle.  Join a Competition Browse the list of competitions and choose one that interests you. It s recommended to start with  Getting Started  competitions  as they are designed for beginners. Click on the competition and then click the  Join Competition  button.  Read the Rules and Data Description Carefully read the competition rules  evaluation criteria  and any provided data descriptions. Understanding the problem and requirements is crucial for successful participation.  Download the Dataset Once you ve joined a competition  download the dataset provided. Familiarize yourself with the data structure  features  and the problem you need to solve.  Participate in Discussions Engage with the Kaggle community by participating in competition forums. Ask questions  share your thoughts  and learn from experienced Kagglers. The community is friendly and supportive.  Start with Simple Models Begin with simple models and analyses. You can experiment with popular machine learning algorithms like linear regression or decision trees. As you gain confidence  you can explore more advanced techniques.  Submit Baseline Predictions Create a baseline model and make your first submission. This helps you understand the submission process and get a feel for the competition.  Learn and Iterate Use the feedback from the public leaderboard to improve your model. Experiment with different features  algorithms  and techniques. Learn from the discussions and Kernels shared by other participants.  Time Management Kaggle competitions have deadlines. Manage your time effectively  especially if the competition spans several weeks. Make sure to allocate time for learning  experimenting  and finalizing your submissions.  Explore More Competitions Once you ve gained confidence and experience  explore more challenging competitions. Kaggle offers a wide range of competitions  from beginner to expert levels.  Attend Kaggle Courses Kaggle offers free courses on various data science and machine learning topics. Completing these courses can enhance your skills and knowledge.  Celebrate Your Progress Whether or not you win a competition  celebrate your progress and the knowledge gained. Kaggle is about learning and improving  and each competition is an opportunity to grow as a data scientist.   happykaggling  Beginner   discussions?tags 13102-Beginne	Kaggler Guide	['Beginner']	2023-12-20T06:47:40+00:00	4	pratyushranjan01	Expert	bronze	3	0	462479	competition-hosting	['Levels']
I am preparing a competition for university students. I want them to be able to join the competition and want to see how many joined in total. However  if I test this  my test users  colleagues  can directly put forward a submission. They are not able to  join the competition . What can I do to officially ask them to join the competition and see how many participants joined the competition? Regards   Boris	Participants can not join competition, or it is not visible to me		2024-02-07T07:31:32+00:00	1	borissmits	Contributor	bronze	2	0	475125	competition-hosting	['General']
One of the top requested features from competition hosts have been private competitions. With  last week   s updates   URL  you can now launch a truly private competition on Kaggle. Let   s dig into the settings that provide hosts granular control over who can see and access their competition.   Image of Privacy settings   URL   Figure Screenshot of the new settings       Competition Setup When you create a competition  you can now set the competition   s   Visibility   and select   Who Can Join   your competition. For competition   Visibility    there are two options  Public  and  Private . Public competitions are discoverable on Kaggle and appear in search results. Private competitions will not appear on Kaggle or in Kaggle search results. The setting   Who Can Join   controls how participants can join your competition. Selecting  Anyone   allows anyone on Kaggle to join your competition. Selecting  Only people with a link   restricts access to those that you   ve shared an invitation link with. Finally  a  Restricted email list  provides a way for hosts to specify domains or individual email addresses that can access a competition.      Participant Email Sharing You can also request that participants share their email address when they join. This provides a way for hosts to match kaggle usernames and submissions to email addresses - particularly useful for educators using Kaggle in the classroom.      Locking Down Data Finally  you can disable notebooks for your competition. This provides a way to ensure that any private data that you have in a competition is not accidentally leaked through shared notebooks. We re super excited about the new Participant and Host features  and we want to hear what you think. If you have any feedback or issues  please reply to this post. A big thanks to  USER_bovard   URL   USER_develra   URL   USER_dominoweir   URL   USER_dster   URL  and  USER_jonlipovetz   URL  for all their hard work on this  Happy Kaggling	â¨ Introducing Private Competitions ð		2023-08-31T20:07:39+00:00	73	ryanpsims	Kaggle Stuff	gold	25	1	436050	competition-hosting	['General']
